NCESSCH School ID,CT Unemployment Rate,CT Pct Adults with College Degree,CT Pct Childre In Married Couple Family,CT Median Household Income,School ACT average (or equivalent if SAT score),School Pct Free and Reduced Lunch
2.2003E+11,15%,48%,13%,22929,25.60,16%
2.20033E+11,4%,83%,94%,68479,21.00,27%
2.20033E+11,8%,44%,83%,50488,19.90,37%
2.20033E+11,7%,31%,78%,41349,18.90,32%
2.20033E+11,9%,60%,68%,70259,20.80,22%
2.20033E+11,11%,47%,56%,46641,19.30,42%
2.20033E+11,14%,49%,21%,31337,17.20,67%
2.20033E+11,17%,32%,49%,32270,20.30,30%
2.20033E+11,4%,34%,63%,27450,18.30,43%
2.20033E+11,18%,39%,37%,25094,16.40,80%
2.20033E+11,11%,54%,65%,48472,19.10,37%
2.20036E+11,11%,29%,71%,35983,19.40,51%
2.20039E+11,9%,47%,62%,37449,21.30,33%
2.20042E+11,17%,34%,54%,26595,18.10,61%
2.20045E+11,14%,37%,46%,29659,17.30,70%
2.20045E+11,26%,44%,14%,33508,16.20,78%
2.20048E+11,27%,28%,23%,20049,16.30,90%
2.20048E+11,12%,32%,87%,43056,21.50,36%
2.20048E+11,16%,49%,72%,44756,20.40,49%
2.20051E+11,5%,41%,40%,42500,18.80,57%
2.20051E+11,16%,45%,67%,36333,16.50,85%
2.20051E+11,5%,41%,40%,42500,19.20,47%
2.20051E+11,6%,46%,66%,55232,18.90,35%
2.20054E+11,3%,81%,39%,31332,26.20,29%
2.20054E+11,16%,36%,33%,27411,15.70,77%
2.20054E+11,6%,69%,73%,53750,17.40,71%
2.20054E+11,15%,47%,61%,61046,18.00,78%
2.20054E+11,13%,58%,48%,47482,16.10,86%
2.20054E+11,14%,61%,14%,19475,20.00,66%
2.20054E+11,15%,44%,20%,21044,17.50,71%
2.20054E+11,4%,75%,35%,49490,17.00,72%
2.20054E+11,5%,67%,52%,62358,19.20,55%
2.20054E+11,18%,49%,9%,28000,16.60,70%
2.20054E+11,18%,49%,9%,28000,17.00,74%
2.20054E+11,11%,35%,58%,28846,15.00,87%
2.20057E+11,21%,32%,35%,17380,16.80,93%
2.2006E+11,7%,36%,51%,41711,17.10,79%
2.20063E+11,11%,30%,53%,37543,20.80,56%
2.20063E+11,11%,42%,50%,25457,19.60,64%
2.20063E+11,3%,31%,63%,38480,18.60,50%
2.20063E+11,4%,24%,37%,14932,17.70,78%
2.20066E+11,9%,35%,63%,34651,17.50,68%
2.20069E+11,8%,38%,61%,41328,18.60,47%
2.20069E+11,20%,32%,66%,36181,16.50,66%
2.20072E+11,8%,34%,61%,46581,20.00,43%
2.20072E+11,10%,29%,48%,49808,16.60,88%
2.20072E+11,9%,43%,67%,60664,19.90,42%
2.20072E+11,22%,33%,49%,31488,17.90,62%
2.20072E+11,7%,52%,43%,34729,18.70,49%
2.20075E+11,6%,45%,17%,40679,18.00,75%
2.20075E+11,16%,38%,28%,40435,18.90,80%
2.20078E+11,7%,38%,49%,42500,15.40,76%
2.20078E+11,4%,48%,58%,41563,19.60,38%
2.20078E+11,7%,35%,62%,46139,20.10,46%
2.20081E+11,11%,54%,67%,41314,19.30,48%
2.20081E+11,10%,48%,71%,50938,19.40,35%
2.20081E+11,17%,38%,48%,40417,19.00,47%
2.20081E+11,9%,49%,58%,41383,19.80,37%
2.20084E+11,2%,63%,89%,75816,17.60,61%
2.20084E+11,5%,41%,37%,27250,17.50,67%
2.20084E+11,5%,50%,62%,41912,19.10,56%
2.20084E+11,8%,56%,66%,58958,18.10,65%
2.20084E+11,6%,32%,66%,48264,18.20,52%
2.20084E+11,2%,97%,89%,109722,28.60,15%
2.20084E+11,5%,42%,68%,35024,17.40,71%
2.20084E+11,8%,71%,88%,82877,19.30,58%
2.20084E+11,4%,71%,30%,40096,19.20,53%
2.20084E+11,5%,34%,56%,32054,17.00,70%
2.20084E+11,8%,44%,42%,39619,26.20,33%
2.20087E+11,2%,61%,72%,54891,18.90,47%
2.20087E+11,11%,53%,43%,43171,17.90,57%
2.20087E+11,3%,80%,27%,60376,20.00,30%
2.20087E+11,3%,60%,51%,32142,22.50,29%
2.20087E+11,20%,29%,37%,22540,16.60,75%
2.2009E+11,6%,42%,40%,38114,19.20,41%
2.2009E+11,11%,38%,78%,50189,20.20,39%
2.2009E+11,5%,42%,42%,39051,19.30,51%
2.20096E+11,10%,36%,52%,31546,19.00,41%
2.20096E+11,8%,34%,68%,36903,18.30,41%
2.20099E+11,10%,54%,57%,36700,20.70,28%
2.20099E+11,10%,81%,73%,37993,20.50,46%
2.20099E+11,5%,52%,54%,42917,18.40,66%
2.20102E+11,10%,39%,57%,33712,18.50,46%
2.20102E+11,7%,47%,52%,51571,20.60,27%
2.20102E+11,4%,34%,57%,51967,19.60,35%
2.20102E+11,7%,30%,61%,45089,21.60,30%
2.20102E+11,6%,44%,62%,40051,22.00,40%
2.20102E+11,4%,49%,81%,69586,21.40,23%
2.20102E+11,6%,44%,72%,53651,20.90,49%
2.20102E+11,10%,50%,56%,52742,19.60,48%
2.20102E+11,11%,58%,62%,53924,20.20,30%
2.20105E+11,25%,45%,31%,16757,15.00,90%
2.20108E+11,29%,43%,28%,18478,17.80,84%
2.20108E+11,3%,66%,48%,39311,21.60,47%
2.20108E+11,17%,46%,17%,26077,16.90,85%
2.20111E+11,14%,26%,14%,21316,17.60,71%
2.20114E+11,12%,34%,66%,42426,16.40,74%
2.20114E+11,9%,51%,15%,21856,17.90,59%
2.20117E+11,25%,43%,31%,20906,18.80,75%
2.20117E+11,10%,57%,26%,31750,28.40,22%
2.20117E+11,5%,53%,26%,34227,19.00,74%
2.20117E+11,14%,56%,30%,22123,16.30,83%
2.20117E+11,4%,98%,96%,75179,19.10,79%
2.2012E+11,,,,,18.80,50%
2.2012E+11,1%,62%,59%,50793,19.70,28%
2.2012E+11,9%,56%,39%,22939,20.90,38%
2.2012E+11,13%,41%,9%,23229,16.20,89%
2.2012E+11,8%,43%,80%,49779,19.90,30%
2.20123E+11,4%,49%,70%,68802,20.60,36%
2.20123E+11,0%,47%,62%,38125,18.90,65%
2.20126E+11,5%,35%,70%,55469,18.00,70%
2.20129E+11,1%,68%,58%,49688,19.60,43%
2.20129E+11,13%,52%,40%,34786,21.60,57%
2.20129E+11,2%,50%,92%,51861,19.90,37%
2.20129E+11,11%,32%,77%,45000,20.20,68%
2.20129E+11,7%,27%,66%,33250,19.80,44%
2.20129E+11,20%,43%,14%,22899,16.90,83%
2.20129E+11,8%,38%,28%,25174,21.30,37%
2.20129E+11,8%,53%,65%,47717,19.10,69%
2.20129E+11,9%,60%,65%,41149,19.10,59%
2.20129E+11,8%,44%,55%,28438,18.00,73%
2.20132E+11,17%,33%,22%,27365,17.60,75%
2.20135E+11,15%,39%,53%,36165,16.00,85%
2.20135E+11,8%,47%,62%,36820,18.10,61%
2.20138E+11,9%,40%,64%,42200,17.90,62%
2.20138E+11,13%,43%,61%,36250,18.20,52%
2.20138E+11,8%,39%,25%,24347,18.10,56%
2.20138E+11,15%,29%,39%,28000,18.80,63%
2.20141E+11,10%,47%,43%,41157,19.40,64%
2.20144E+11,8%,58%,59%,60444,20.00,40%
2.20144E+11,12%,48%,43%,41990,19.90,35%
2.20147E+11,10%,34%,43%,40000,16.00,98%
2.2015E+11,14%,52%,64%,53417,19.60,54%
2.2015E+11,14%,38%,46%,32303,18.10,74%
2.20153E+11,6%,36%,55%,53892,17.80,73%
2.20153E+11,26%,40%,29%,42568,20.00,89%
2.20156E+11,7%,30%,44%,35886,18.60,55%
2.20156E+11,8%,37%,37%,29508,18.90,64%
2.20156E+11,4%,31%,62%,32448,19.20,55%
2.20156E+11,2%,42%,73%,44397,18.20,79%
2.20156E+11,4%,37%,48%,36938,18.80,43%
2.20156E+11,15%,28%,27%,18131,18.30,64%
2.20159E+11,17%,50%,30%,40481,18.50,52%
2.20159E+11,9%,39%,60%,51966,18.30,48%
2.20159E+11,4%,34%,74%,47902,17.40,60%
2.20162E+11,7%,38%,72%,43798,21.00,35%
2.20162E+11,20%,41%,40%,42931,18.50,66%
2.20162E+11,20%,41%,40%,42931,17.00,73%
2.20162E+11,8%,45%,54%,52242,19.80,54%
2.20162E+11,22%,36%,30%,30217,17.50,75%
2.20162E+11,8%,42%,47%,36857,17.30,56%
2.20165E+11,3%,60%,69%,67391,22.60,22%
2.20165E+11,9%,42%,25%,30254,19.70,42%
2.20165E+11,8%,68%,64%,62074,23.30,15%
2.20165E+11,10%,62%,80%,52120,19.60,56%
2.20165E+11,9%,51%,47%,42841,19.10,56%
2.20165E+11,12%,68%,83%,52663,20.70,41%
2.20165E+11,3%,61%,70%,58715,22.20,20%
2.20165E+11,9%,64%,71%,66788,22.10,26%
2.20168E+11,26%,40%,32%,26992,15.90,85%
2.20168E+11,10%,52%,50%,45563,18.40,65%
2.20168E+11,16%,43%,56%,41821,15.70,82%
2.20168E+11,25%,36%,19%,22373,15.80,93%
2.20168E+11,7%,41%,88%,47489,19.10,46%
2.20168E+11,9%,55%,46%,42052,19.90,45%
2.20168E+11,25%,36%,19%,22373,19.30,68%
2.20171E+11,12%,36%,19%,22391,16.20,87%
2.20174E+11,7%,38%,57%,34828,19.20,49%
2.20174E+11,7%,37%,39%,42255,17.90,67%
2.20174E+11,1%,37%,56%,56319,19.30,47%
2.20174E+11,3%,48%,66%,54571,19.80,42%
2.20177E+11,6%,49%,14%,21607,17.60,59%
2.2018E+11,17%,27%,42%,22294,17.50,68%
2.2018E+11,8%,34%,61%,46581,21.50,25%
2.2018E+11,10%,27%,25%,32615,19.40,41%
2.2018E+11,7%,45%,61%,63494,20.90,31%
2.2018E+11,3%,24%,75%,48652,19.00,47%
2.20183E+11,7%,51%,59%,43917,22.70,33%
2.20183E+11,4%,38%,74%,44605,21.70,55%
2.20183E+11,7%,51%,59%,43917,20.40,41%
2.20183E+11,10%,55%,44%,39338,19.80,37%
2.20183E+11,5%,51%,71%,49252,21.10,32%
2.20183E+11,11%,77%,87%,38585,19.20,38%
2.20186E+11,15%,36%,46%,26138,19.50,65%
2.20186E+11,25%,37%,54%,27115,18.60,72%
2.20186E+11,16%,38%,76%,37102,17.90,83%
2.20186E+11,19%,36%,76%,29671,17.40,98%
2.20189E+11,13%,41%,37%,33629,17.60,51%
2.20189E+11,10%,40%,63%,41193,19.00,43%
2.20189E+11,18%,39%,33%,28365,18.30,56%
2.20192E+11,3%,65%,81%,79241,20.60,39%
2.20192E+11,9%,36%,62%,41439,17.60,71%
2.20195E+11,12%,30%,73%,30551,20.20,68%
2.20195E+11,9%,27%,51%,31775,19.20,64%
2.20195E+11,9%,27%,51%,31775,20.90,66%
2.20198E+11,13%,60%,62%,61424,20.50,40%
2.20201E+11,7%,45%,58%,25500,19.00,54%
2.20201E+11,7%,45%,58%,25500,18.20,62%
2.5E+11,9%,58%,63%,66250,22.72,17%
2.5E+11,13%,56%,62%,43500,21.30,34%
2.50001E+11,6%,63%,79%,77200,21.94,16%
2.50002E+11,8%,62%,75%,76976,20.62,45%
2.50003E+11,5%,80%,80%,69440,23.86,10%
2.50003E+11,18%,57%,16%,27787,18.15,74%
2.50003E+11,10%,60%,68%,60537,20.40,45%
2.50004E+11,11%,67%,62%,67110,25.77,3%
2.50004E+11,8%,72%,81%,110121,22.86,20%
2.50004E+11,7%,72%,78%,53111,24.82,11%
2.50005E+11,5%,88%,64%,87852,20.76,51%
2.50005E+11,11%,51%,40%,22332,15.42,80%
2.50005E+11,8%,75%,85%,59022,20.57,51%
2.50005E+11,5%,74%,82%,85523,21.86,7%
2.50005E+11,11%,56%,65%,51667,21.62,33%
2.50005E+11,18%,66%,54%,13488,17.78,74%
2.50006E+11,8%,61%,76%,66750,23.03,13%
2.50006E+11,13%,71%,67%,54669,24.18,8%
2.50006E+11,12%,48%,44%,34355,24.40,4%
2.50007E+11,7%,96%,73%,67762,21.96,62%
2.50007E+11,9%,85%,75%,89313,25.57,4%
2.50007E+11,17%,47%,37%,49510,17.69,71%
2.50007E+11,16%,33%,34%,15820,21.08,37%
2.50008E+11,15%,51%,36%,34486,23.82,16%
2.50008E+11,4%,51%,59%,37778,22.13,46%
2.50008E+11,4%,70%,65%,63621,20.32,70%
2.50008E+11,20%,35%,47%,36934,21.76,69%
2.50008E+11,15%,55%,15%,41659,21.54,37%
2.50009E+11,9%,84%,75%,94141,28.41,4%
2.50009E+11,6%,93%,65%,83980,20.03,41%
2.50009E+11,8%,45%,56%,50829,16.05,80%
2.50052E+11,6%,48%,75%,45871,22.35,45%
2.50052E+11,16%,23%,28%,26492,19.35,57%
2.50052E+11,6%,60%,67%,62308,19.93,56%
2.50053E+11,8%,83%,67%,95085,16.37,76%
2.50054E+11,7%,62%,77%,80536,22.64,10%
2.50054E+11,11%,67%,62%,67110,22.16,33%
2.50165E+11,9%,70%,82%,63003,21.03,16%
2.50171E+11,4%,93%,88%,130134,27.31,4%
2.50178E+11,14%,50%,58%,44125,20.13,33%
2.5018E+11,7%,53%,62%,46442,21.54,23%
2.50186E+11,8%,75%,77%,77321,23.52,17%
2.50192E+11,12%,88%,,79107,25.48,24%
2.50195E+11,8%,85%,82%,90739,25.13,5%
2.50198E+11,8%,90%,88%,89315,25.28,10%
2.50204E+11,7%,70%,97%,85662,22.13,17%
2.5021E+11,6%,84%,88%,113818,24.47,11%
2.50216E+11,11%,58%,83%,65224,20.45,45%
2.50219E+11,13%,48%,56%,56402,20.89,32%
2.50222E+11,6%,66%,88%,73550,21.74,15%
2.50225E+11,13%,61%,72%,78750,19.93,24%
2.50231E+11,7%,62%,74%,64750,22.01,27%
2.5024E+11,8%,88%,85%,129500,25.01,9%
2.50243E+11,6%,77%,88%,97823,22.64,12%
2.50246E+11,6%,56%,83%,88198,21.13,20%
2.50249E+11,5%,94%,86%,162786,26.33,7%
2.50253E+11,6%,62%,64%,52026,23.11,13%
2.50258E+11,3%,79%,79%,102422,22.94,11%
2.50264E+11,9%,67%,47%,55242,22.11,16%
2.50267E+11,9%,64%,96%,96150,22.18,9%
2.50272E+11,8%,65%,73%,72389,22.13,22%
2.50279E+11,12%,84%,13%,33359,28.48,28%
2.50279E+11,20%,47%,13%,26276,23.52,53%
2.50279E+11,23%,52%,22%,16832,21.86,71%
2.50279E+11,7%,81%,72%,53796,16.05,85%
2.50279E+11,4%,86%,74%,116830,16.22,85%
2.50279E+11,3%,96%,100%,111923,16.03,-2%
2.50279E+11,10%,30%,56%,52448,16.98,73%
2.50279E+11,24%,33%,36%,23067,14.15,77%
2.50279E+11,10%,75%,41%,54513,14.27,85%
2.50279E+11,5%,77%,62%,76375,14.95,90%
2.50279E+11,6%,90%,50%,122540,17.52,86%
2.50279E+11,7%,56%,39%,50703,17.10,83%
2.50279E+11,4%,86%,85%,80923,16.49,77%
2.50279E+11,14%,33%,37%,47571,13.78,82%
2.50279E+11,16%,62%,36%,48320,13.85,77%
2.50279E+11,8%,83%,67%,95085,15.27,83%
2.50279E+11,2%,83%,66%,65446,18.49,68%
2.50279E+11,14%,46%,33%,52485,16.64,78%
2.50279E+11,16%,62%,36%,48320,14.93,86%
2.50279E+11,4%,86%,85%,80923,15.17,81%
2.50282E+11,6%,80%,66%,79226,21.03,19%
2.50294E+11,6%,69%,64%,93284,23.01,16%
2.50303E+11,11%,60%,100%,42981,22.16,15%
2.50309E+11,9%,60%,66%,74396,18.10,72%
2.50309E+11,47%,31%,21%,12490,15.61,65%
2.50315E+11,6%,98%,83%,137688,26.36,12%
2.50324E+11,6%,81%,71%,99926,23.38,10%
2.50327E+11,8%,93%,63%,51955,23.21,40%
2.5033E+11,8%,87%,69%,70698,22.96,13%
2.50336E+11,5%,57%,83%,64339,22.13,21%
2.50339E+11,11%,67%,77%,47500,22.45,21%
2.50351E+11,7%,68%,86%,77120,23.33,7%
2.50354E+11,13%,19%,50%,38429,18.35,64%
2.50366E+11,9%,41%,70%,58552,20.37,42%
2.50366E+11,11%,63%,41%,40202,20.84,49%
2.50375E+11,7%,69%,81%,75546,20.42,39%
2.50378E+11,6%,90%,91%,117679,23.74,3%
2.50387E+11,4%,91%,91%,130060,25.65,3%
2.50399E+11,12%,79%,88%,93984,22.55,14%
2.50402E+11,6%,63%,77%,77917,22.08,14%
2.50405E+11,5%,86%,87%,89853,21.30,28%
2.50414E+11,7%,73%,84%,54077,20.54,28%
2.5042E+11,9%,69%,81%,85326,22.01,11%
2.50423E+11,8%,70%,68%,84616,21.30,15%
2.50429E+11,4%,89%,93%,130870,27.28,3%
2.50432E+11,7%,52%,66%,73022,21.81,15%
2.50436E+11,8%,69%,62%,71735,22.11,15%
2.50441E+11,7%,91%,97%,120750,24.38,5%
2.50444E+11,11%,60%,100%,42981,22.01,12%
2.5045E+11,7%,68%,67%,75299,22.77,13%
2.50456E+11,13%,64%,61%,56490,23.06,13%
2.50459E+11,10%,69%,79%,49081,22.08,25%
2.50462E+11,7%,84%,85%,79722,23.06,9%
2.50477E+11,12%,37%,43%,49353,17.83,67%
2.5048E+11,6%,64%,82%,60153,22.47,24%
2.50483E+11,11%,58%,42%,41958,19.30,62%
2.50486E+11,8%,67%,81%,70130,22.28,25%
2.50489E+11,14%,65%,81%,83582,17.00,70%
2.50495E+11,5%,74%,82%,85523,22.81,13%
2.50498E+11,5%,65%,86%,74741,23.16,22%
2.50501E+11,10%,82%,81%,90606,23.82,8%
2.50507E+11,4%,72%,97%,109063,22.47,10%
2.5051E+11,4%,80%,84%,59778,23.01,18%
2.50513E+11,10%,47%,63%,54643,21.01,43%
2.50516E+11,4%,60%,79%,52275,21.91,22%
2.50522E+11,5%,84%,95%,100260,23.13,6%
2.50527E+11,16%,54%,51%,39080,20.79,41%
2.50528E+11,7%,73%,74%,44360,21.35,31%
2.50537E+11,5%,85%,87%,105391,23.30,10%
2.5054E+11,4%,64%,70%,78261,22.69,22%
2.50549E+11,7%,59%,77%,53171,22.89,49%
2.5055E+11,6%,87%,86%,118005,24.38,2%
2.50558E+11,3%,81%,77%,74737,22.16,15%
2.50567E+11,5%,92%,93%,119688,24.87,3%
2.50573E+11,6%,82%,76%,116250,22.40,11%
2.50574E+11,7%,68%,92%,79583,23.38,10%
2.50579E+11,8%,72%,81%,110121,22.20,5%
2.50588E+11,10%,79%,82%,131563,25.77,2%
2.50594E+11,2%,69%,60%,60033,22.01,12%
2.50597E+11,9%,61%,50%,56544,21.30,48%
2.50609E+11,5%,88%,87%,124444,25.11,4%
2.50615E+11,5%,65%,86%,79041,19.00,43%
2.50624E+11,6%,85%,85%,95357,24.35,4%
2.50627E+11,18%,59%,42%,27473,20.27,66%
2.5063E+11,5%,74%,92%,99886,23.11,11%
2.50633E+11,3%,88%,90%,131643,24.65,3%
2.50639E+11,6%,72%,80%,72529,22.59,18%
2.50642E+11,59%,35%,,,21.15,32%
2.50648E+11,11%,74%,75%,59571,23.55,8%
2.50651E+11,9%,77%,91%,87037,23.50,5%
2.50666E+11,9%,42%,37%,42609,15.39,91%
2.50666E+11,9%,42%,37%,42609,17.71,89%
2.50666E+11,9%,42%,37%,42609,16.81,89%
2.50666E+11,9%,42%,37%,42609,15.02,90%
2.50666E+11,9%,42%,37%,42609,15.12,94%
2.50669E+11,7%,73%,70%,59019,20.35,28%
2.50672E+11,9%,63%,80%,75521,21.81,22%
2.50675E+11,17%,78%,87%,51201,23.52,14%
2.50678E+11,12%,54%,56%,48807,21.25,33%
2.50684E+11,5%,91%,86%,121336,28.24,6%
2.50693E+11,6%,95%,95%,177107,26.53,4%
2.50696E+11,5%,86%,86%,116290,24.33,7%
2.50699E+11,8%,94%,91%,100729,24.79,5%
2.50702E+11,14%,68%,29%,34431,19.96,60%
2.50705E+11,10%,64%,74%,65962,21.15,19%
2.50708E+11,7%,65%,58%,58625,23.62,13%
2.50711E+11,13%,55%,30%,36830,18.59,70%
2.50711E+11,13%,36%,43%,53462,18.88,72%
2.50714E+11,6%,84%,97%,121127,23.77,8%
2.50717E+11,11%,73%,61%,42675,20.15,49%
2.50723E+11,8%,71%,60%,72042,23.60,10%
2.50726E+11,6%,91%,78%,81520,24.69,8%
2.50732E+11,9%,66%,91%,66319,21.84,35%
2.50735E+11,4%,78%,76%,82326,22.42,12%
2.50738E+11,2%,78%,78%,80225,23.23,9%
2.50741E+11,4%,86%,82%,121157,24.40,2%
2.50744E+11,10%,60%,60%,58750,21.45,24%
2.5075E+11,9%,78%,81%,79688,22.16,13%
2.50753E+11,6%,88%,90%,147440,24.77,2%
2.50756E+11,7%,78%,94%,99196,21.57,23%
2.50759E+11,7%,88%,83%,112281,23.89,4%
2.50762E+11,4%,84%,85%,80478,22.45,15%
2.50768E+11,8%,80%,85%,111979,23.47,9%
2.50774E+11,7%,61%,79%,63704,20.13,35%
2.50777E+11,12%,51%,62%,60076,21.11,23%
2.50786E+11,9%,63%,74%,56477,21.11,24%
2.50789E+11,13%,62%,58%,50732,21.57,23%
2.50792E+11,7%,76%,86%,96773,22.25,16%
2.50798E+11,5%,84%,62%,105236,22.94,13%
2.50799E+11,7%,71%,69%,53641,22.86,28%
2.50804E+11,9%,58%,66%,64783,20.64,13%
2.50816E+11,7%,85%,89%,85156,24.33,14%
2.50825E+11,0%,75%,42%,96477,21.59,10%
2.50828E+11,8%,55%,82%,68929,21.08,21%
2.50831E+11,5%,84%,87%,144461,24.65,6%
2.50834E+11,6%,82%,83%,73750,23.79,8%
2.50837E+11,2%,96%,91%,125034,25.72,5%
2.50843E+11,11%,54%,40%,57632,18.27,65%
2.50858E+11,6%,90%,85%,56786,23.86,7%
2.50861E+11,6%,96%,79%,89267,26.01,13%
2.50861E+11,6%,97%,87%,175370,26.89,9%
2.50867E+11,21%,49%,52%,40690,19.81,53%
2.5087E+11,2%,89%,93%,144762,23.38,11%
2.50873E+11,14%,67%,58%,54133,23.03,12%
2.50876E+11,6%,56%,70%,58438,22.01,24%
2.50879E+11,8%,74%,82%,85240,22.37,13%
2.50882E+11,4%,81%,92%,138458,23.50,5%
2.50885E+11,8%,91%,67%,70547,25.21,19%
2.50891E+11,4%,82%,85%,98977,24.45,5%
2.50894E+11,5%,66%,63%,66667,21.79,23%
2.509E+11,9%,77%,85%,90703,22.79,12%
2.50903E+11,7%,78%,89%,101776,24.18,4%
2.50906E+11,4%,78%,69%,99688,21.18,27%
2.50915E+11,6%,73%,83%,78216,22.59,11%
2.50927E+11,9%,64%,80%,70104,20.91,28%
2.5093E+11,12%,64%,56%,52763,21.59,28%
2.50936E+11,8%,71%,85%,54012,21.94,26%
2.50942E+11,7%,73%,81%,92159,22.64,9%
2.50945E+11,7%,77%,85%,92898,23.03,8%
2.5096E+11,5%,72%,85%,60721,21.69,19%
2.50963E+11,21%,41%,40%,18892,20.76,36%
2.50963E+11,13%,53%,38%,23603,21.08,38%
2.50972E+11,8%,62%,59%,53891,20.81,28%
2.50972E+11,6%,55%,74%,80208,19.98,24%
2.50987E+11,5%,58%,82%,65375,21.64,43%
2.50987E+11,18%,69%,90%,51732,21.15,42%
2.5099E+11,15%,55%,70%,41133,21.67,42%
2.50993E+11,20%,66%,87%,57151,19.20,46%
2.50999E+11,3%,80%,90%,102692,24.18,4%
2.51005E+11,11%,46%,67%,56136,18.52,59%
2.51017E+11,6%,50%,82%,67012,21.13,30%
2.5102E+11,6%,76%,81%,75270,23.11,14%
2.51038E+11,8%,62%,47%,63333,20.32,54%
2.51047E+11,10%,82%,83%,92533,21.98,10%
2.5105E+11,10%,63%,55%,71231,21.47,23%
2.51056E+11,8%,80%,90%,121719,23.74,7%
2.51059E+11,6%,78%,82%,61852,22.69,14%
2.51062E+11,2%,92%,85%,100528,25.89,6%
2.51077E+11,4%,89%,89%,121005,24.52,11%
2.51083E+11,7%,73%,81%,92159,22.67,13%
2.51089E+11,9%,75%,84%,57978,20.13,58%
2.51092E+11,7%,72%,78%,53111,22.35,23%
2.51101E+11,13%,34%,27%,26175,17.86,69%
2.51104E+11,5%,59%,80%,50530,22.55,-3%
2.51113E+11,4%,44%,78%,56303,13.95,77%
2.51113E+11,27%,34%,8%,14186,14.10,76%
2.51113E+11,12%,47%,48%,42732,17.88,56%
2.51113E+11,23%,40%,30%,25313,17.52,68%
2.51122E+11,7%,77%,79%,94398,21.91,14%
2.51125E+11,18%,59%,51%,41971,21.62,27%
2.5114E+11,5%,79%,88%,126250,22.81,7%
2.51143E+11,8%,94%,84%,107353,23.08,14%
2.51146E+11,8%,65%,96%,74826,21.94,21%
2.51149E+11,6%,61%,76%,63889,23.57,14%
2.51152E+11,9%,47%,52%,42487,21.50,37%
2.51158E+11,6%,68%,74%,87480,22.13,12%
2.51174E+11,6%,71%,80%,85994,22.67,16%
2.51176E+11,9%,68%,77%,85905,22.59,7%
2.51185E+11,10%,69%,81%,89423,21.06,16%
2.51188E+11,5%,81%,89%,93056,23.16,9%
2.51191E+11,7%,77%,86%,73643,22.84,8%
2.51197E+11,6%,78%,87%,93040,22.62,13%
2.512E+11,8%,71%,76%,82798,20.71,32%
2.51203E+11,12%,54%,48%,36031,21.47,45%
2.51206E+11,10%,63%,58%,71205,20.57,38%
2.5121E+11,8%,56%,57%,42538,22.28,37%
2.51218E+11,3%,82%,91%,87423,22.20,27%
2.51221E+11,5%,96%,89%,155885,26.21,6%
2.51224E+11,11%,44%,45%,33814,19.98,47%
2.51227E+11,5%,96%,93%,175625,26.60,4%
2.51239E+11,10%,58%,77%,72989,22.55,8%
2.51242E+11,10%,56%,69%,71844,21.64,14%
2.51251E+11,9%,67%,68%,76338,21.25,44%
2.5126E+11,3%,77%,72%,77647,24.91,7%
2.51263E+11,10%,64%,73%,68661,21.91,23%
2.51266E+11,4%,96%,94%,148770,25.82,3%
2.51275E+11,3%,92%,88%,226181,26.87,3%
2.51278E+11,9%,56%,84%,90417,21.45,23%
2.51281E+11,4%,93%,83%,123974,24.87,4%
2.51284E+11,7%,66%,74%,76875,21.18,25%
2.51293E+11,5%,62%,87%,84436,21.50,18%
2.51305E+11,7%,69%,76%,91970,22.62,6%
2.51308E+11,5%,59%,75%,57620,21.62,34%
2.51311E+11,7%,83%,84%,89595,26.28,6%
2.51317E+11,5%,67%,76%,82361,20.49,21%
2.5132E+11,10%,55%,72%,56250,21.30,21%
2.51323E+11,19%,36%,35%,21141,19.25,71%
2.51323E+11,8%,58%,62%,30469,19.35,61%
2.51323E+11,4%,83%,90%,80139,20.30,53%
2.51323E+11,13%,61%,42%,45458,16.03,78%
2.51323E+11,11%,52%,60%,63380,18.44,78%
2.60001E+11,36%,50%,22%,19297,16.50,53%
2.60001E+11,15%,60%,56%,31611,20.60,32%
2.60001E+11,11%,45%,68%,38915,20.80,31%
2.60001E+11,15%,54%,63%,47979,19.70,30%
2.60001E+11,3%,78%,68%,38649,21.90,18%
2.60002E+11,6%,59%,81%,40833,18.30,46%
2.60002E+11,22%,60%,9%,32083,18.20,57%
2.60002E+11,7%,67%,91%,76821,19.80,56%
2.60002E+11,13%,49%,32%,31862,19.70,32%
2.60002E+11,9%,26%,56%,41683,20.30,33%
2.60002E+11,15%,56%,76%,38728,20.70,32%
2.60009E+11,8%,72%,78%,62903,19.10,58%
2.60009E+11,12%,54%,71%,43708,21.40,42%
2.6001E+11,3%,55%,29%,34808,20.20,12%
2.6001E+11,7%,74%,61%,42945,23.00,7%
2.60011E+11,14%,78%,61%,61635,19.40,35%
2.60011E+11,8%,69%,63%,47330,24.30,14%
2.60013E+11,47%,42%,26%,14050,15.00,77%
2.60014E+11,22%,15%,60%,30195,17.10,95%
2.60014E+11,17%,49%,88%,48370,18.60,75%
2.60015E+11,12%,57%,88%,32175,18.40,50%
2.60016E+11,29%,19%,31%,20966,14.60,66%
2.60016E+11,4%,89%,65%,62351,19.20,72%
2.60016E+11,6%,71%,41%,31392,23.80,11%
2.60017E+11,12%,53%,79%,56676,15.00,86%
